Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Orange-winged Amazon,University of St. Andrews,OL - Piglet,F,ADULT,8,5,70,80,60
Orange-winged Amazon,University of St. Andrews,SR - Penny,F,ADULT,9,4,70,80,60
Orange-winged Amazon,University of St. Andrews,LGR - Belle,F,ADULT,10,5,50,40,60
Orange-winged Amazon,University of St. Andrews,PIL - Rocky,M,ADULT,11,5,40,0,80
Orange-winged Amazon,University of St. Andrews,GYLSR _ Freckles,M,ADULT,12,5,70,60,80
Orangutan,MPI - Leipzig,Kila,F,11,1,4,100,100,100
Orangutan,MPI - Leipzig,Padana,F,13,2,4,100,100,100
Orangutan,MPI - Leipzig,Dokana,F,22,3,4,100,100,100
Orangutan,MPI - Leipzig,Pini,F,23,4,4,100,100,100
Orangutan,MPI - Leipzig,Raaja,F,7,5,4,100,100,100
Orangutan,National Zoo,Lucy,F,37,6,7,100,100,100
Orangutan,National Zoo,Iris,F,23,7,4,100,100,100
Orangutan,National Zoo,Kiko,M,22,8,4,100,100,100
Orangutan,National Zoo,Batang,F,13,9,4,100,100,100
Orangutan,National Zoo,Bonnie,F,33,10,4,100,100,100
Orangutan,National Zoo,Kyle,M,13,11,5,90,100,80
Red-bellied lemur,Duke Lemur Center,Hopi,F,19.994520547945207,1,5,80,80,80
Red-bellied lemur,Duke Lemur Center,Dido,F,26.079452054794519,2,7,80,60,100
Red-bellied lemur,Duke Lemur Center,Navajo,M,22.164383561643834,3,22,90,80,100
Red-bellied lemur,Duke Lemur Center,Cheyenne,F,21.887671232876713,4,6,20,0,40
Red-bellied lemur,Duke Lemur Center,Iroquois,M,17.93972602739726,5,5,50,60,40
Red-bellied lemur,Duke Lemur Center,Hannibal,M,23.745205479452054,6,20,60,20,100
Red-bellied lemur,Duke Lemur Center,Fox,F,15.063013698630137,7,11,100,100,100
Red-bellied lemur,Duke Lemur Center,Mohawk,M,28.161643835616438,8,56,30,20,40
Rhesus macaque,Duke University,Curry,F,9,1,4,90,80,100
Rhesus macaque,Duke University,Mikulski,F,14,2,4,90,80,100
Rhesus macaque,Duke University,Feinstein,F,15,3,4,90,80,100
Rhesus macaque,Duke University,Bails,F,9,4,4,90,80,100
Rhesus macaque,Duke University,Schroeder,F,14,5,4,90,80,100
Rhesus macaque,Duke University,Boxer,F,14,6,4,30,20,40
Ring-tailed Lemur,Duke Lemur Center,CapnLee,M,8.1589041095890416,1,6,30,40,20
Ring-tailed Lemur,Duke Lemur Center,Nemo,M,20.895890410958906,2,14,50,40,60
Ring-tailed Lemur,Duke Lemur Center,Cleonomis,F,20.827397260273973,3,7,40,20,60
Ring-tailed Lemur,Duke Lemur Center,Tellus,F,4.13972602739726,4,4,90,80,100
Ring-tailed Lemur,Duke Lemur Center,Ginger,F,2.1671232876712327,5,4,90,80,100
Ring-tailed Lemur,Duke Lemur Center,Teres,M,13.057534246575342,6,4,100,100,100
Ring-tailed Lemur,Duke Lemur Center,Nicea,F,5.4356164383561643,7,5,60,60,60
Ring-tailed Lemur,Duke Lemur Center,Berisades,M,5.4082191780821915,8,7,70,40,100
Ring-tailed Lemur,Duke Lemur Center,Cleis,F,24.117808219178084,9,5,50,40,60
Ring-tailed Lemur,Duke Lemur Center,Lilah,F,4.4219178082191783,10,5,80,80,80
Ring-tailed Lemur,Duke Lemur Center,Ivy,M,3.1013698630136988,11,4,88.88888888888889,80,100
ruffed lemur,Duke Lemur Center,Alphard,M,18.92876712328767,1,10,80,80,80
ruffed lemur,Duke Lemur Center,Borealis,M,19.87945205479452,2,5,20,20,20
ruffed lemur,Duke Lemur Center,Antilia,F,18.934246575342467,3,5,60,60,60
ruffed lemur,Duke Lemur Center,Carina,F,4.0821917808219181,4,4,100,100,100
ruffed lemur,Duke Lemur Center,Aries,M,0.87671232876712324,5,5,60,40,80
ruffed lemur,Duke Lemur Center,Little Dipper,F,5.9068493150684933,6,5,80,80,80
ruffed lemur,Duke Lemur Center,Junior,M,4.3589041095890408,7,4,80,80,80
ruffed lemur,Duke Lemur Center,Comet,M,24.043835616438358,8,4,50,40,60
