Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
gorilla,Gorilla gorilla,N,Y,Cylinder.Task,94.4,97.2,F,42,National Zoo,Haloko
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,F,15,National Zoo,Kigali
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,M,8,National Zoo,Kojo
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,M,10,National Zoo,Kwame
gorilla,Gorilla gorilla,Y,Y,Cylinder.Task,94.4,97.2,F,28,National Zoo,Mandara
gorilla,Gorilla gorilla,N,Y,A.not.B.Task,100,97.2,F,7,MPI - Leipzig,Kibara
gorilla,Gorilla gorilla,N,Y,A.not.B.Task,100,97.2,F,4,MPI - Leipzig,Louna
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,F,16,MPI - Leipzig,Viringika
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,F,6,MPI-Leipzig,Bebe
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,M,30,MPI-Leipzig,Gorgo
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,F,32,MPI-Leipzig,Ndiki
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,M,16,MPI-Leipzig,Nkwango
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,F,11,MPI-Leipzig,Ruby
gorilla,Gorilla gorilla,Y,N,A.not.B.Task,100,97.2,F,11,MPI-Leipzig,Vizuri
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,M,17,National Zoo,Baraka
gorilla,Gorilla gorilla,N,Y,A.not.B.Task,100,97.2,F,42,National Zoo,Haloko
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,F,15,National Zoo,Kigali
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,M,8,National Zoo,Kojo
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,M,10,National Zoo,Kwame
gorilla,Gorilla gorilla,Y,Y,A.not.B.Task,100,97.2,F,28,National Zoo,Mandara
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,2,Wolf Science Center,Apache
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,3,Wolf Science Center,Aragorn
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,2,Wolf Science Center,Cherokee
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,2,Wolf Science Center,Geronimo
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,3,Wolf Science Center,Kaspar
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,0,Wolf Science Center,Kenai
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,2,Wolf Science Center,Nanuk
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,F,3,Wolf Science Center,Shima
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,F,2,Wolf Science Center,Tatonga
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,M,1,Wolf Science Center,Wapi
gray wolf,Canis lupus,N,Y,Cylinder.Task,77.3,NA,F,2,Wolf Science Center,Yukon
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,2,Wolf Science Center,Apache
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,3,Wolf Science Center,Aragorn
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,2,Wolf Science Center,Cherokee
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,2,Wolf Science Center,Geronimo
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,3,Wolf Science Center,Kaspar
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,0,Wolf Science Center,Kenai
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,2,Wolf Science Center,Nanuk
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,F,3,Wolf Science Center,Shima
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,F,2,Wolf Science Center,Tatonga
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,M,1,Wolf Science Center,Wapi
gray wolf,Canis lupus,N,Y,A.not.B.Task,NA,NA,F,2,Wolf Science Center,Yukon
hamadryus baboon,Papio hamadryas,NA,NA,Cylinder.Task,67.8,65.7,NA,NA,NA,NA
hamadryus baboon,Papio hamadryas,NA,NA,A.not.B.Task,63.6,65.7,NA,NA,NA,NA
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,juvenile,University of Utrecht,Anastasia
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,M,adult,University of Utrecht,Cleo
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,adult,University of Utrecht,Cornea
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,adult,University of Utrecht,Era
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,adult,University of Utrecht,Icetea
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,subadult,University of Utrecht,Linea
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,subadult,University of Utrecht,Logica
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,juvenile,University of Utrecht,Ofelia
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,M,juvenile,University of Utrecht,Salvadoro
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,F,adult,University of Utrecht,Sea
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,M,subadult,University of Utrecht,Video
long-tailed macaque,Macaca fascicularis,Y,N,Cylinder.Task,NA,NA,M,juvenile,University of Utrecht,Zargasso
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,juvenile,University of Utrecht,Anastasia
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,M,adult,University of Utrecht,Cleo
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,adult,University of Utrecht,Cornea
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,adult,University of Utrecht,Era
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,adult,University of Utrecht,Icetea
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,subadult,University of Utrecht,Linea
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,subadult,University of Utrecht,Logica
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,juvenile,University of Utrecht,Ofelia
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,M,juvenile,University of Utrecht,Salvadoro
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,F,adult,University of Utrecht,Sea
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,M,subadult,University of Utrecht,Video
long-tailed macaque,Macaca fascicularis,Y,N,A.not.B.Task,66.7,NA,M,juvenile,University of Utrecht,Zargasso
marmoset,Callithrix jacchus,Y,Y,Cylinder.Task,31.9,46,M,12,University of Zurich,Juniper
